station_name;station_no;station_id;station_latitude;station_longitude
Aberfoyle;144;14575;43.45465555555556;-80.162625
Armstrong Mills;186;14512;43.63967;-80.269977
Arthur Climate Station;6;14447;43.830686094;-80.540822376
Ayr;156;14856;43.274975;-80.47487777777778
Baden Climate Station;9;14718;43.395533527;-80.660100299
Beaverdale;168;14534;43.42189722222223;-80.3326638888889
Below Elmira;28;15162;43.580107;-80.509161
Below Shand;87;14440;43.73120277777778;-80.34086944444444
Below Shand WQ Station;88;15355;43.73120277777778;-80.34086944444444
Blair WQ Station;58;15177;43.38405;-80.38408055555556
Brant Climate Station;13;14610;43.146634644;-80.308868835
Brant WQ Station;59;15200;43.152075;-80.316894444
Brantford;60;14547;43.132215;-80.266931
Bridgeport;61;14811;43.481941;-80.482307
Bridgeport WQ Station;68;15218;43.483425;-80.47498333333334
Burford Climate Station;14;14624;43.115464677;-80.4773453
Burford MOE Climate Station;206;35980;43.116958745;-80.478564241
Byng Island Climate Station;15;14803;42.895144333;-79.629899797
Canning;160;14861;43.189708;-80.455174
Clair Creek;33;15012;43.463611;-80.539885
Conestogo Climate Station;37;14929;43.67332778;-80.73224722
Conestogo Dam;38;14908;43.684182;-80.710332
Conestogo Hydro Plant;46;14955;43.684182;-80.710332
Damascus Dam;47;15726;;
Dickie Settlement Road;207;41576;43.371625;-80.3946667
Doon;63;14816;43.40034166666666;-80.42619166666667
Drayton;49;14913;43.756632;-80.670228
Dundalk;89;14519;44.140125;-80.363136111
Dundalk Climate Station;90;15074;44.140125;-80.3631361111
Dunnville upstream Weir 3;64;14786;42.89739;-79.62877
Elmira;16;15157;43.601811;-80.55639
Elora Climate Station;54;14459;43.67956561;-80.434695835
Eramosa;55;14838;43.547939;-80.182611
Erbsville;131;15007;43.480447;-80.604144
Fairchild near Brantford;201;17772;43.140008571;-80.150003598
Floradale GRCA;202;17625;43.634569;-80.580732
Galt;62;14821;43.35311388888889;-80.31575833333333
Glen Allan;50;14895;43.654831;-80.702297
Glen Morris WQ Station;65;15241;43.277451901;-80.347724758
Guelph Hydro Plant;177;15762;43.604366;-80.264394
Guelph Lake Climate Station;178;14994;43.604375317;-80.264397771
Guelph Lake Dam;179;14977;43.604366;-80.264394
Hanlon;169;14482;43.52642;-80.260727
Hanlon WQ Station;170;15262;43.53369166666667;-80.252375
Head Office Climate Station;145;14884;43.37609047;-80.286088097
Hidden Valley;66;14541;43.41278;-80.41694
Horner Creek;193;14554;43.162566;-80.541019
Keldon;93;15051;44.07082;-80.37017
Laurel Creek Climate Station;132;15021;43.474843699;-80.574394325
Laurel Creek Dam;133;15002;43.48397222222223;-80.5710611111111
Leggatt;91;15056;43.96728;-80.354884
Luther Marsh Climate Station;11;15071;43.96293992;-80.401170809
Luther Marsh Dam;12;15043;43.962844;-80.401168
Marsville;92;14428;43.86184166666667;-80.27229166666666
McKenzie Creek;143;14569;43.033897;-79.95
Mill Creek;151;14867;43.41311944444444;-80.2269
Millbank Climate Station;152;14698;43.587635;-80.871644
Moorefield;153;14918;43.757498;-80.748695
Mount Vernon;192;14561;43.126257;-80.38361
New Dundee Dam;2;14587;43.35323888888889;-80.53470555555555
New Dundee Road;208;41578;43.3659167;-80.4294444
New Hamburg;157;14487;43.37736;-80.710929
Nithburg;155;14845;43.484175088;-80.835492151
Paris Climate Station;67;14724;43.214525857;-80.383182135
Philipsburg;159;14850;43.416487;-80.715585
Port Maitland;162;14678;42.863411111;-79.5713305556
Road 32 WQ Station;183;15285;43.48448333333334;-80.28220277777778
Salem;129;14833;43.693528;-80.445509
Schneider Creek;167;15026;43.439525;-80.47599722222222
Shades Mills Dam;148;37906;;
Shades Mills Dam Climate Station;149;15113;43.37609047;-80.286088097
Shand Dam;71;14389;43.734891;-80.330514
Shand Dam Climate Station;72;14419;43.73490032;-80.330517842
Shand Hydro Plant;78;15678;43.73433611111111;-80.33693888888888
St. Jacobs;51;14475;43.541298;-80.552997
Sulphur Creek d/s fish ladder;188;14795;42.870777777;-79.62913888888
Upper Belwood;81;14434;43.82921111111111;-80.29885277777778
Upper Drayton;35;14890;43.7834;-80.637396
Victoria Road;184;14983;43.58790277777;-80.2740305555555
Victoria WQ Station;82;15317;43.47964722222223;-80.42189444444445
Waldemar;83;15061;43.89086388888889;-80.28335
Weber Street;139;14493;43.47201111111112;-80.51435277777777
Wellesley Dam;56;15132;43.475603322;-80.765946703
West Montrose;84;14504;43.585225;-80.481472
Willow Brook;194;14453;43.91028611111111;-80.27518888888889
Woolwich Dam;18;15147;43.622569;-80.564452
Woolwich Dam Climate Station;19;15171;43.622577996;-80.564456748
York;85;14827;43.021702537;-79.89126664
York WQ Station;86;15336;43.02222;-79.89222